year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cba__kalkuhl__prob50
2020,2,102.06382205319393,102.50949991541678,102.50949991541678,72.55003282037369,26.37741909806174,20.977226036604122,1.1524603511400309,0.14031913914703706,0.44567786222283434,0.0,cba__kalkuhl__prob50
2025,3,122.69867675751188,123.61189841610226,123.3185488807947,86.78087140246612,19.261687154775277,20.997894712068327,1.279686888206709,0.15222553688714427,0.6143881065895682,0.29334953530758323,cba__kalkuhl__prob50
2030,4,143.22985788365042,144.63155982862543,144.05231943143923,101.00343423558593,19.60005248508416,21.469713336843984,1.3614052030106976,0.15534968677633282,0.8162077322257982,0.579240397186191,cba__kalkuhl__prob50
2035,5,164.5424834982057,166.44076135184403,165.62027385567393,115.99390229760593,18.912073332588868,21.176689627971566,1.4034251379757103,0.1651784428958881,1.0695132789546844,0.820487496170064,cba__kalkuhl__prob50
2040,6,185.82591463293295,188.30772703893672,187.21690012421877,131.2344587606527,17.57711731337263,20.246693374717704,1.4404017351039937,0.17898314364502707,1.3798500938044105,1.0908269147179592,cba__kalkuhl__prob50
2045,7,207.98740242290515,211.2174596059018,209.80663831026487,147.24851295176137,15.738623824410258,18.801722714633634,1.4771354978969573,0.1959624021479914,1.7905927926341814,1.4108212956368849,cba__kalkuhl__prob50
2050,8,231.05400784710477,235.1786014805431,233.4020614903035,164.06982818669147,12.75625803178023,16.48939847615689,1.5119380262369067,0.2164432998758446,2.3335476314667383,1.7765399902395467,cba__kalkuhl__prob50
2055,9,255.15055507962668,260.2720409763659,258.0955988729609,181.82084519801253,10.267819213571885,14.414497566110256,1.542282794236518,0.23300613029834785,2.9297401059591786,2.176442103404968,cba__kalkuhl__prob50
2060,10,280.8884598547148,287.0214744942491,284.44347346925895,200.88984084133708,8.886449460108114,12.813406658998282,1.563242847647189,0.24518007257991872,3.511876696745116,2.578001024990159,cba__kalkuhl__prob50
2065,11,308.34611057182457,315.38362285143336,312.4117517486498,221.34984839777164,7.116211794268032,11.954799822087098,1.575811871446035,0.2533900211800179,4.037807504877233,2.9718711027835485,cba__kalkuhl__prob50
2070,12,336.449272560817,344.3613946357313,340.9929281511104,242.46215420955755,6.486242548089734,11.591438713195354,1.5845662530326934,0.2566587849533073,4.52025474902741,3.368466484620879,cba__kalkuhl__prob50
2075,13,364.9373995100639,373.85940948746037,370.10555629002164,264.04033766279593,4.659175727101517,10.121939067861778,1.5888938575101896,0.26842646506461476,5.133608562233932,3.753853197438624,cba__kalkuhl__prob50
2080,14,393.87496402299155,403.7273155127404,399.57434249115676,286.09125209810713,2.8120380537229592,8.660715356007293,1.5927885675840654,0.27880060282150393,5.657758600127691,4.152973021583706,cba__kalkuhl__prob50
2085,15,423.54268161290616,434.1452519671369,429.62123216911624,308.79102766906385,0.8169730093161982,6.991324003576604,1.5922333509129647,0.2863691803411984,6.028855449712693,4.524019798020696,cba__kalkuhl__prob50
2090,16,454.1934772495478,465.43056296428614,460.5858335524981,332.3029583592313,-1.0997225175243674,5.405096660210281,1.5860549162771267,0.29538523808135625,6.333106349255248,4.844729411787974,cba__kalkuhl__prob50
2095,17,485.9958266960609,497.6758545242271,492.58637724257505,356.72397182199086,-2.8444017733158913,3.93978204282752,1.5733595832049285,0.3038505227949412,6.521650740849675,5.089477281652099,cba__kalkuhl__prob50
2100,18,518.6859991907968,530.71785375784,525.478663217962,381.8725211871538,-4.3322544929633375,2.722041531197548,1.554200763692557,0.31079843579196154,6.714026801090581,5.239190539878159,cba__kalkuhl__prob50
2105,19,553.6895321769758,565.6664940957791,560.3744447294105,408.77205628372815,-5.448254032208731,1.1831018137351932,1.5291774939346765,0.32010535912579846,6.487019800252397,5.292049366368585,cba__kalkuhl__prob50
2110,20,590.9590633029277,602.4716222279349,597.2309806548892,437.4011220005596,-6.149211920500277,0.5136884994995788,1.4992933514818365,0.3232453937608136,6.0523948990800465,5.240641573045649,cba__kalkuhl__prob50
2115,21,630.1753995363694,641.023273577664,635.9351234493197,467.50991926415895,-6.499708877073368,0.19354315205866565,1.4660584077915713,0.32353893980794995,5.517919688499052,5.088150128344371,cba__kalkuhl__prob50
2120,22,670.9824643299409,681.1139990866826,676.2666742477874,498.82653926494527,-6.722045451516133,0.0029086001960097673,1.4312402794249748,0.32432901110681056,5.017651026475651,4.847324838895417,cba__kalkuhl__prob50
2125,23,713.1200835101923,722.4577191661214,717.923269906673,531.148697579558,-6.751785752627328,0.002640346820227665,1.3963796730349278,0.32432901110681056,4.512904043441172,4.534449259448522,cba__kalkuhl__prob50
2130,24,756.1609820222483,764.7169365977212,760.5626401440215,564.1393923205816,-6.778877413006142,0.002418931285854034,1.362040875210241,0.3243252454245051,4.086627358983942,4.15429645369979,cba__kalkuhl__prob50
2135,25,799.6937535641537,807.4799153132376,803.762862172807,597.4758490626475,-6.806213383053349,0.0022336681334056835,1.3288658744730608,0.3243252454245051,3.7280237293623317,3.717053140430705,cba__kalkuhl__prob50
2140,26,843.2661905012089,850.2812625179879,847.0602982441156,630.8040661594764,-6.83193012512798,0.002078952806871135,1.29675641382838,0.3243252454245051,3.4269180073249506,3.220964273872522,cba__kalkuhl__prob50
2145,27,886.3798527201151,892.6069384891231,889.9446326371839,663.7353986087828,-6.8531625437575325,0.001950029084625161,1.2654798866982644,0.3243229173500782,3.174035250260525,2.6623058519392155,cba__kalkuhl__prob50
2150,28,928.4849700307814,933.900475842637,931.8616904799878,695.8431765290474,-6.875085325626026,0.0018417184181580824,1.2348334261019085,0.3243229173500782,2.961163442902736,2.038785362649211,cba__kalkuhl__prob50
2155,29,969.0016330910001,973.570832089524,972.2202317335021,726.6792457377527,-6.89359047787942,0.0017520464786681229,1.2046718252205013,0.32431898012823923,2.781205017623242,1.3506003560219384,cba__kalkuhl__prob50
2160,30,1007.3127356157731,1011.0056111743615,1010.4058313218591,755.769318858337,-6.91263223742775,0.0016765451823274294,1.1748656664418415,0.32432062749798285,2.628143484142948,0.5997798525024975,cba__kalkuhl__prob50
2165,31,1042.8206707146783,1045.5841820076726,1045.793157485256,782.655694908768,-6.922587012509783,0.0016147457310546768,1.1453244935857632,0.3243197057275609,2.496956144898247,-0.20897547758360088,cba__kalkuhl__prob50
2170,32,1074.894246784891,1076.6989362482682,1077.768025594985,806.8586753358582,-6.933743165159357,0.0015674372822646234,1.1159613954487242,0.32430196623291724,2.383500042174685,-1.069089346716868,cba__kalkuhl__prob50
2175,33,1102.9523718500138,1103.7678091715493,1105.7384667282354,827.9389173665683,-6.942193870077624,0.0015274050221969055,1.0867426739200718,0.3243011528784622,2.284390601688257,-1.9706575566863715,cba__kalkuhl__prob50
2180,34,1126.4627425618885,1126.257975642996,1129.1608378300866,845.4975362847904,-6.939570166864367,0.0014965440566687724,1.0576069272802888,0.3243011528784622,2.1968849694772343,-2.9028621870908844,cba__kalkuhl__prob50
2185,35,1144.9355463067634,1143.7050181116454,1147.5579499028,859.1701511036517,-6.941377657556803,0.0014743909290430074,1.0285099786163852,0.3243001621289098,2.1187769594141384,-3.8529317911542966,cba__kalkuhl__prob50
2190,36,1157.98207945922,1155.7272127034248,1160.5326790784484,868.6726721177536,-6.940563114631918,0.0014464348999048866,0.9994555085183253,0.3243844477229021,2.0483059751545354,-4.805466375023827,cba__kalkuhl__prob50
2195,37,1165.3199554195417,1162.044450105678,1167.7905760287588,873.803709139475,-6.923446208841436,0.0014358795329605925,0.9703899511850237,0.32440860215053763,1.9840797102446757,-5.74612592308098,cba__kalkuhl__prob50
2200,38,1166.7493575709111,1162.4907807285929,1169.1504188543565,874.4272219896743,-6.915753427918363,0.00143651920166121,0.9412836170757909,0.32440860215053763,1.9250107144742528,-6.659638125764219,cba__kalkuhl__prob50
2205,39,1168.1655406556333,1162.9260955099915,1170.4980585287337,875.03947813768,-6.897548679441691,0.0014371551220339026,0.9121808108855396,0.32440860215053763,1.8694274825209545,-7.571963018742515,cba__kalkuhl__prob50
2210,40,1169.572666051931,1163.354569869505,1171.8395106534797,875.6435839613246,-6.887632808970202,0.001437788583187521,0.8830226648086287,0.32440860215053763,1.8168222847560518,-8.484940783974631,cba__kalkuhl__prob50
2215,41,1170.9742119194148,1163.77854459124,1173.1766248701617,876.2421600880837,-6.876424637084791,0.0014384206210324945,0.853824773340367,0.32440860215053763,1.7667861085596506,-9.398080278921952,cba__kalkuhl__prob50
2220,42,1172.3749499598364,1164.1994804171434,1174.5125517122394,876.8387381039447,-6.8555558869312545,0.009660139622907318,0.8245326263339842,0.3225806451612903,1.7177447936194963,-10.313071295095677,cba__kalkuhl__prob50
2225,43,1173.7744941947858,1164.6186319804103,1175.8491949436539,877.4331013110204,-6.842237337640591,0.008694437385530421,0.7951249328048303,0.3227956989247312,1.672064676838916,-11.23056296324441,cba__kalkuhl__prob50
2230,44,1175.183394515687,1165.036583234021,1177.1861928232734,878.0330230208431,-6.798225373915461,0.01691838414755361,0.7656317310455864,0.3209677419354839,1.627314491591473,-12.149609589252295,cba__kalkuhl__prob50
2235,45,1176.5875582797312,1165.4549069515128,1178.526411008379,878.6281103011214,-6.761151897412149,0.036138045561127805,0.736010990576412,0.3173118279569892,1.5830288900798333,-13.071504056866646,cba__kalkuhl__prob50
2240,46,1177.994509913342,1165.8727666959044,1179.864917959333,879.2238542861713,-6.682826839732423,0.09406015341609292,0.7063945631295402,0.3102150537634409,1.5359811830636916,-13.992151263428532,cba__kalkuhl__prob50
2245,47,1179.390162571385,1166.2905694279073,1181.2026397620941,879.8098420954052,-6.643208349878289,0.11486137007505767,0.6767656186672091,0.30494623655913977,1.4965215343782194,-14.912070334187078,cba__kalkuhl__prob50
2250,48,1180.7941518195844,1166.7068070750804,1182.5321965735961,880.4006814135919,-6.5171151464929125,0.21193848489781014,0.647314496157054,0.2960215053763441,1.4495292832827646,-15.825389498516111,cba__kalkuhl__prob50
2255,49,1182.1900905982059,1167.123011332411,1183.8602725369633,880.9841107403687,-6.4163361335236155,0.2806551538141034,0.617874333680749,0.28731182795698923,1.4094290436044417,-16.737261204552407,cba__kalkuhl__prob50
2260,50,1183.5916699416762,1167.5380652495355,1185.1737353114631,881.5704054445108,-6.126369118618202,0.5329629836833305,0.5888362055360269,0.2701075268817204,1.3508058152087419,-17.63567006192773,cba__kalkuhl__prob50
2265,51,1184.9804920297845,1167.9529939901786,1186.475395711059,882.145857551501,-5.7611103423920325,0.8534662410987484,0.5601435535914526,0.25247311827956986,1.2940981516817711,-18.522401720879806,cba__kalkuhl__prob50
2270,52,1186.348500676156,1168.3661458266138,1187.734817003406,882.7039882578173,-5.205965492027428,1.270782003850375,0.5327381942564513,0.23075268817204295,1.2417890860321041,-19.36867117679251,cba__kalkuhl__prob50
2275,53,1187.6421964323133,1168.7755641601893,1188.9330001298251,883.2059841663137,-4.617733806174091,1.7525290157323865,0.5071809027816587,0.2106451612903225,1.1899744964208399,-20.157435969635962,cba__kalkuhl__prob50
2280,54,1188.8822166468358,1169.1736360923924,1190.0305670662888,883.6667243799477,-3.4319152582385057,2.8711672605100427,0.48451752941306975,0.18688172043010748,1.0764747854363097,-20.85693097389658,cba__kalkuhl__prob50
2285,55,1189.9872315050832,1169.558446220072,1191.016201527797,884.0260055762753,-2.1274982451793827,3.8190213951973697,0.4650616784270591,0.172258064516129,1.0079771360896215,-21.45775530772491,cba__kalkuhl__prob50
2290,56,1191.3234018173625,1169.918960974429,1191.7849233134418,884.5558065718174,3.9313660661150847,9.796803809205253,0.45190024733672385,0.14301075268817198,0.45256357546309484,-21.865962339013187,cba__kalkuhl__prob50
2295,57,1192.1560899556262,1170.292972052875,1192.3424841306255,884.7111096568301,15.924541071695135,16.162423147526848,0.446122061019252,0.0863440860215054,0.18639417499948607,-22.049512077750958,cba__kalkuhl__prob50
2300,58,1192.379926869548,1171.176580030233,1192.450076384073,884.4142503933074,21.82990367569971,22.067785751531417,0.4722395523719498,0.05913978494623657,0.07014951452496317,-21.273496353840116,cba__kalkuhl__prob50
