year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2185,35,1159.6430168236614,1148.0565410540944,1162.2935734359091,870.2579504731208,-6.969910316515728,0.0014639513812474553,0.6903418215693188,0.32440860215053763,2.1050996328664557,-14.237032381815913,cba__kalkuhl__prob25
2190,36,1172.954272524974,1160.1441846579742,1175.5244375183659,879.9537147518428,-6.961481785265781,0.001449756592272699,0.6585358150985058,0.32440860215053763,2.0376320313406797,-15.380252860391996,cba__kalkuhl__prob25
2195,37,1180.4587041432208,1166.5061425112312,1182.961303319095,885.2032047094475,-6.957594080501052,0.0014431097406558012,0.6266764791954756,0.32440860215053763,1.9757514066872863,-16.45516080786406,cba__kalkuhl__prob25
2200,38,1181.9877063918057,1166.9719429844786,1184.414361497657,885.8934774226028,-6.9381048597551,0.0014437913842960419,0.5947675655334445,0.32440860215053763,1.9185137356869686,-17.442418513178957,cba__kalkuhl__prob25
2205,39,1183.4999024242552,1167.428974843384,1185.8601893982334,886.5697560041488,-6.9294898125414095,0.0014444699646530077,0.5627621593035458,0.32440860215053763,1.864361005814933,-18.431214554850854,cba__kalkuhl__prob25
2210,40,1185.0064303819656,1167.88010125852,1187.3001967718865,887.2403351500429,-6.911244861825567,0.0014451471542360481,0.5307084614169222,0.32440860215053763,1.8128724813771326,-19.420095513367293,cba__kalkuhl__prob25
2215,41,1186.509052181339,1168.327713166883,1188.7387717279526,887.906537737491,-6.900243336963661,0.001445823588715514,0.4985415754610143,0.32440860215053763,1.7637075514437246,-20.41105856107019,cba__kalkuhl__prob25
2220,42,1188.010334221834,1168.7730769019813,1190.1766081241292,888.5702736975337,-6.88782192587202,0.0014464999584905569,0.4662801421145763,0.32440860215053763,1.7165902662558044,-21.403531222148658,cba__kalkuhl__prob25
2225,43,1189.5185812149261,1169.2170508059287,1191.6160190373396,889.237705879695,-6.8661333457254505,0.003796128804888591,0.4338760885787438,0.32388636046771097,1.6708804161885855,-22.39896823141128,cba__kalkuhl__prob25
2230,44,1191.0253133750582,1169.6610392889486,1193.05886684775,889.9025358236379,-6.842186714198735,0.01201916194627596,0.40131399771248055,0.32205840347846365,1.6262353292976557,-23.397827558801552,cba__kalkuhl__prob25
2235,45,1192.5371223605189,1170.1047640829715,1194.50375045451,890.5696792741386,-6.798874003156645,0.023341929310702666,0.36863005085341977,0.3197159379060492,1.5830499368853657,-24.398986371538424,cba__kalkuhl__prob25
2240,46,1194.0500962366998,1170.5488290203234,1195.9509440118816,891.2362071416418,-6.754227736693091,0.04760172261917979,0.335834652210595,0.31532408377546023,1.540060742190921,-25.402114991558957,cba__kalkuhl__prob25
2245,47,1195.5576063768403,1170.993087566872,1197.3973491688523,891.8971586408805,-6.704495870419537,0.07839752567424609,0.30302488179179854,0.3099763930266687,1.4987937346521076,-26.404261601981187,cba__kalkuhl__prob25
2250,48,1197.0684203057776,1171.4366239797039,1198.8415068502145,892.5590912805575,-6.642299008660622,0.1140813732406719,0.270218427306545,0.3044985292411728,1.4586386461451428,-27.40488287051091,cba__kalkuhl__prob25
2255,49,1198.5794598036352,1171.8799803324941,1200.2833395939044,893.2197359576778,-6.555015414449811,0.17159539359201897,0.23743556824833317,0.2976914157769347,1.4171403592661753,-28.403359261410777,cba__kalkuhl__prob25
2260,50,1200.0911870414113,1172.3230922712692,1201.7208640342617,893.8794324728377,-6.412657291988097,0.2796998492389586,0.2047400981147275,0.28759597715422947,1.372076464964243,-29.39777176299308,cba__kalkuhl__prob25
2265,51,1201.617517845977,1172.7659796407659,1203.149769222098,894.5484758728686,-6.12342056039234,0.515210292385378,0.17227670090748276,0.27202009059484905,1.3158962819842812,-30.383789581332216,cba__kalkuhl__prob25
2270,52,1203.1233686904166,1173.2103619949091,1204.5619548599052,895.2006659762492,-5.666152861843,0.8807642980956322,0.14037480302233346,0.25171097351199184,1.257679681651458,-31.351592864996242,cba__kalkuhl__prob25
2275,53,1204.5797772419899,1173.6529665408907,1205.9277980662116,895.814645764872,-5.1330084320121285,1.3370403392496277,0.1099174813517623,0.22987135007591644,1.2030071705559522,-32.27483152532084,cba__kalkuhl__prob25
2280,54,1205.9710660288893,1174.0884114679861,1207.2090154578766,896.3789927251311,-4.390092042347292,1.9915178009879806,0.0820109395229172,0.20771556198669838,1.1341127823050163,-33.1206039898906,cba__kalkuhl__prob25
2285,55,1207.2852680539777,1174.5117409921995,1208.383051951786,896.884424441811,-3.336416083521701,2.610493730178434,0.05725123085901791,0.1898560958783786,1.077650336293979,-33.87131095959095,cba__kalkuhl__prob25
2290,56,1208.8690563567777,1174.9185204090293,1209.4090090767968,897.5886644324646,3.9732970140105097,8.118559858743923,0.036871397964223396,0.15728050422093265,0.5326760739438369,-34.490488667814944,cba__kalkuhl__prob25
2295,57,1210.0477351525353,1175.3476479435326,1210.2701901118755,897.991345508947,14.273252322065481,14.511134397897198,0.022797252102687522,0.10061383755426598,0.22245495934000803,-34.9225421685121,cba__kalkuhl__prob25
2300,58,1210.3455287584434,1176.3073407708725,1210.4304137346296,897.7397299400373,20.263738475165695,20.50162055099741,0.05084192699740006,0.0720217913707554,0.08488497618619689,-34.123072964293506,cba__kalkuhl__prob25
