year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cba__kalkuhl__prob75
2020,2,102.16256706222606,102.50949991541678,102.50949991541678,72.61820692699715,31.985706182429393,26.58551312097178,1.1524603511400309,0.08622168723085814,0.34693285319073736,0.0,cba__kalkuhl__prob75
2025,3,122.82879059221216,123.62827526118734,123.33489140545078,86.8702546793162,25.326068802413815,27.060038222730466,1.279686888206709,0.09768325052597061,0.5007838005579636,0.293383855736592,cba__kalkuhl__prob75
2030,4,143.32754606478196,144.66326603683405,144.0231388913307,101.06900003758338,25.291398957523878,27.1571417948597,1.3830986220439425,0.1076073200947889,0.6897014952464576,0.6401271455033636,cba__kalkuhl__prob75
2035,5,164.55896481790873,166.4748091441215,165.49275983555142,116.0010654915493,24.50875368170285,26.768754130235628,1.4521342308454068,0.12062322335341828,0.9260381833321474,0.9820493085700864,cba__kalkuhl__prob75
2040,6,185.73056316757874,188.32773656230196,186.95344563774725,131.16120074614005,23.23646925653953,25.90043911610319,1.5140341437764022,0.13581674268702942,1.212493707613762,1.3742909245547477,cba__kalkuhl__prob75
2045,7,207.75911534012803,211.20956115370407,209.37290431787795,147.07908505917263,21.64298624963017,24.698010010368435,1.5734383989173386,0.15296398043671192,1.586411960673823,1.8366568358260371,cba__kalkuhl__prob75
2050,8,230.67257103752058,235.1316494714323,232.76209695730782,163.78887763287653,19.01635964999318,22.745818737742518,1.62971557845157,0.17290963708826326,2.075705592109107,2.369552514124436,cba__kalkuhl__prob75
2055,9,254.58214745281924,260.1764198008642,257.20676554509095,181.40313449721944,16.796296595140493,20.93946692013322,1.6815899928043379,0.18904606631616686,2.6100606796418555,2.969654255773209,cba__kalkuhl__prob75
2060,10,280.0699654527299,286.8663477101029,283.25133771892644,200.28811580804464,15.378871909815453,19.297424926025133,1.7251460455215886,0.2026268373909345,3.1405284620972855,3.615009991176564,cba__kalkuhl__prob75
2065,11,307.19075907190336,315.1528437929595,310.8513640326991,220.49881118593703,13.224519391746643,18.05810900375885,1.7613064987575346,0.21472993999889603,3.634274116831655,4.301479760260476,cba__kalkuhl__prob75
2070,12,334.89693787506195,344.0330748384664,339.00193779196803,241.31634178933558,12.155904576235802,17.257216636595253,1.7933906826339705,0.2214751147460114,4.082923871494871,5.031137046498374,cba__kalkuhl__prob75
