year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cba__dice__prob50
2020,2,102.41096185821242,102.50949991541678,102.50949991541678,72.78648761031444,33.26269646786059,27.86250340640297,1.1524603511400309,0.07574233141479868,0.09853805720436999,0.0,cba__dice__prob50
2025,3,123.4303978421183,123.67040150697719,123.58015543467181,87.28370081693382,26.757824355080835,28.401147890896304,1.279686888206709,0.08785456365342036,0.14844549186058906,0.09024607230537127,cba__dice__prob50
2030,4,144.3869745734122,144.79259815300983,144.58840348462155,101.80098619493448,27.77935850310488,29.55892820341796,1.3880111619624145,0.08926697496533403,0.2007772461324457,0.20419466838834247,cba__dice__prob50
2035,5,166.14320151303116,166.73364002791905,166.41429812627413,117.10001070399868,27.90841974204005,30.075887945993006,1.4633120935448272,0.09643500898049379,0.2701897855579576,0.31934190164494236,cba__dice__prob50
2040,6,187.93134812289196,188.74606508113106,188.2888709100278,132.69573206650963,27.560786985560078,30.120420187451643,1.5352664965831553,0.10647675812974121,0.35623808841438687,0.45719417110321836,cba__dice__prob50
2045,7,210.71553953184073,211.8186394457328,211.19147779148037,149.1512084036029,27.129723194128964,29.970622116028444,1.6082552274827326,0.11844136397379867,0.4687536356280091,0.6271616542524397,cba__dice__prob50
2050,8,234.52157512092847,235.96981749689795,235.13800839614672,166.5003048069857,25.698691637446668,29.336559399078283,1.6814043740157092,0.13209656702137268,0.6128864216047227,0.8318091007512097,cba__dice__prob50
2055,9,259.43854537985334,261.28575109953175,260.2119285881739,184.842448881298,24.71944117871265,28.782704485687464,1.7540741825133406,0.14310162314876768,0.7691816473172256,1.0738225113578677,cba__dice__prob50
2060,10,285.99961556652664,288.2900000198891,286.9401057509365,204.5074248296891,24.449131236697333,28.187221172672306,1.822518651882652,0.1525712379358459,0.9294249604304929,1.3498942689526956,cba__dice__prob50
2065,11,314.16683003171727,316.9245431461386,315.2614975293145,225.48078076617736,23.010559257693103,27.741394288179343,1.8876942948667836,0.16075019866241505,1.0871180932295874,1.663045616824005,cba__dice__prob50
2070,12,342.90350062515074,346.16021044162585,344.1430858578774,247.05483567971862,22.478081867332936,27.500005995019773,1.9523741888322323,0.1673968079688009,1.234022518825914,2.017124583748445,cba__dice__prob50
2075,13,372.07820181684855,375.8941144498693,373.4927564854753,269.13310197952455,21.20848835535577,26.55246867021199,2.0130856190924273,0.17667966951141328,1.4077458469802877,2.4013579643939726,cba__dice__prob50
2080,14,401.61107088812116,405.99115695023136,403.1692235616242,291.6224420125577,19.53424881472746,25.24876127291881,2.072197522153608,0.18471518322125186,1.551617661740356,2.8219333886071793,cba__dice__prob50
2085,15,431.69491688480133,436.6214166946049,433.34955864260127,314.636263150802,17.248167848872423,23.27533936926052,2.127765202808592,0.19107014959732174,1.6473339373644627,3.271858052003605,cba__dice__prob50
2090,16,462.614407941707,468.08457045801026,464.3411616096581,338.3559742671482,14.873655793016482,21.21784048586382,2.1781107742460186,0.19711051441272107,1.7183559149347132,3.743408848352196,cba__dice__prob50
2095,17,494.4593185735676,500.46632843878115,496.24431270808844,362.8327258090439,12.488570551928065,19.100553752798724,2.2210860491218813,0.20493732158385286,1.7748066115081211,4.222015730692699,cba__dice__prob50
2100,18,527.0285509291451,533.5878581569586,528.8915502218367,387.92629252508,10.475903788499718,17.34818698681908,2.2562529137560596,0.21282204501848476,1.8509010029454789,4.696307935121808,cba__dice__prob50
2105,19,561.4903100926731,568.5665992606506,563.3977234865862,414.4682735064154,8.30555872242095,14.52569192273447,2.2837802753407463,0.22416376568829763,1.866530781755589,5.168875774064503,cba__dice__prob50
2110,20,597.687957419382,605.3125609025233,599.6723215040927,442.33765047471803,6.102131283862897,12.343472704660496,2.3051163361009723,0.23558971219674416,1.9392538790515863,5.640239398430715,cba__dice__prob50
2115,21,635.4991936469914,643.6742508561914,637.5729341154291,471.4338503347447,4.092303286030268,10.354449968153364,2.3201463986837414,0.24700653149393867,2.02418717128928,6.1013167407623605,cba__dice__prob50
2120,22,674.7332591875688,683.4501887806692,676.908519255225,501.6041804103084,2.250712075570763,8.533246845724394,2.328754202847896,0.25874807167511193,2.121051804103457,6.5416695254444415,cba__dice__prob50
2125,23,715.1375168726526,724.3808658014528,717.4256469910719,532.6481378959861,0.5594027236367284,6.86156089446627,2.331541141693218,0.27018412847536427,2.2291565725928773,6.955218810381256,cba__dice__prob50
2130,24,756.3989854452269,766.1454775544037,758.8090699961143,564.318694300563,-0.9908806217577549,5.330400957222513,2.3291435915750736,0.28059698139791794,2.34616581978286,7.336407558289315,cba__dice__prob50
2135,25,798.1373172466806,808.3615916824366,800.6822514973156,596.3176961547283,-2.4312999554468147,3.9079911739283166,2.3220995179432196,0.2929124137906632,2.4760954994643525,7.679340185121232,cba__dice__prob50
2140,26,839.924025006689,850.5863306526828,842.6083886210421,628.3097059721184,-3.746656737774555,2.609504112832842,2.310864023224405,0.3034162754415655,2.610669794698359,7.97794203164066,cba__dice__prob50
2145,27,881.3159691930523,892.3227761209098,884.0972380672455,659.9468484481363,-4.823795476830361,1.5481321259232526,2.295754460889693,0.3126769321973577,2.702775709185844,8.225538053664197,cba__dice__prob50
2150,28,921.8097762456155,933.0324324567385,924.6160276308993,690.839975677307,-5.582142679348785,0.8037507505060372,2.2771026448930347,0.31846130845081233,2.7233142018899006,8.416404825839429,cba__dice__prob50
2155,29,960.8222494118152,972.1418363400849,963.5920405692768,720.5402469043024,-6.051737254891349,0.3465606086494852,2.25562449140852,0.32087487970696177,2.6827950626219694,8.549795770807965,cba__dice__prob50
2160,30,997.736972040392,1009.0484568262757,1000.4180942735853,748.5735434677974,-6.27607006331842,0.13149700225797414,2.2323910594019925,0.3237414867294283,2.5910535919240996,8.63036255269048,cba__dice__prob50
2165,31,1031.8823310132843,1043.1373290788601,1034.4728772771768,774.4294932248999,-6.415768007480765,0.0016261098243519302,2.20843776922038,0.3242354805661444,2.4969560320783595,8.66445180168308,cba__dice__prob50
2170,32,1062.658397182423,1073.794656256519,1065.1362532228507,797.6527165656398,-6.415738643362159,0.00806835952711396,2.1846328649069635,0.32288061041860006,2.3820401413577232,8.658403033668069,cba__dice__prob50
2175,33,1089.4452718808996,1100.4388390174217,1091.825298411729,817.7743986544649,-6.418289689130042,0.009756707397407484,2.1612524711065233,0.3224280802426949,2.28271410767722,8.613540605692805,cba__dice__prob50
2180,34,1111.708596816063,1122.5317716641875,1113.9987495128446,834.3941265255296,-6.400381206226591,0.029199625437778706,2.1386557352045124,0.31886914539996863,2.1922966294711017,8.533022151342905,cba__dice__prob50
2185,35,1128.9764140227553,1139.6055775465643,1131.1897472626574,847.1616460714497,-6.402650673828909,0.026047849645370408,2.116748517636866,0.31884217064759307,2.1158633495256263,8.415830283907045,cba__dice__prob50
2190,36,1140.8758003448436,1151.2787790557854,1143.0169916370423,855.8048429947709,-6.390190183405399,0.03482901143078773,2.095447253360831,0.3169479494398037,2.045070838834825,8.261787418742797,cba__dice__prob50
