year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cbudget_500__kalkuhl__prob25
2020,2,101.99988099752302,102.50949991541678,102.50949991541678,72.50826229343525,20.510523400812605,15.110330339354995,1.1524603511400309,0.17635554708992063,0.509618917896252,0.0,cbudget_500__kalkuhl__prob25
2025,3,122.62573254304067,123.60064398220223,123.30731766729663,86.73464905211006,13.04629339715521,14.781373272968898,1.279686888206709,0.1869152877698736,0.676185918821921,0.2933263149055911,cbudget_500__kalkuhl__prob25
2030,4,143.22208437133452,144.61191650050685,144.09677921167471,101.0026420870756,14.748888005771951,16.616608384198017,1.3385019919100452,0.18395679020337513,0.868622159701821,0.5151372888321739,cbudget_500__kalkuhl__prob25
2035,5,164.64934416951624,166.42857978769007,165.77734841306545,116.07412822196717,14.492741069775192,16.75503644806289,1.352142817189077,0.19185817000382535,1.1199913518827354,0.6512313746246234,cbudget_500__kalkuhl__prob25
2040,6,186.07137997485174,188.32044734990643,187.51190416288833,131.41313809599268,13.286592566093178,15.953248918653888,1.3665850241736075,0.2050796556348673,1.4297820561713015,0.8085431870180196,cbudget_500__kalkuhl__prob25
2045,7,208.39394519842972,211.26812610289608,210.26193746139077,147.54230193738067,11.385849643361555,14.444399783445425,1.3848948716585312,0.2220545134826128,1.8400697625371194,1.0061886415053367,cbudget_500__kalkuhl__prob25
2050,8,231.6486365420296,235.27782328638236,234.04395015024727,164.49880427590557,8.213255974303264,11.944213843431646,1.403178591939784,0.24314425751510732,2.3812227821347665,1.2338731361350883,cbudget_500__kalkuhl__prob25
2055,9,255.98040178361057,260.4299288508368,258.9578540822206,182.420474262575,5.601395416614049,9.745786907521314,1.4173269341492023,0.2591653650916108,2.9626462000529266,1.4720747686161653,cbudget_500__kalkuhl__prob25
2060,10,282.0150627580821,287.2511715494718,285.57246921065564,201.70561437387468,4.355436401194624,8.276393096993186,1.42127304968544,0.2697778131080292,3.515920507943415,1.6787023388161522,cbudget_500__kalkuhl__prob25
2065,11,309.83605060208305,315.70209463943235,313.86177719887144,222.43047652048205,3.076481395405059,7.910948715193537,1.416025646982351,0.27502232621527434,3.9991461430098365,1.8403174405608955,cbudget_500__kalkuhl__prob25
2070,12,338.36240265514465,344.78723022612263,342.81157926745385,243.8524887557007,3.03993929698512,8.14147496633318,1.4073490289271269,0.27714665374756164,4.427039166701966,1.9756509586687756,cbudget_500__kalkuhl__prob25
2075,13,367.3279856432385,374.41155224691533,372.32776500785593,265.78108869784387,1.7813555681169473,7.23831801152707,1.3961804037274086,0.28486254520735005,4.9674342740556225,2.0837872390595296,cbudget_500__kalkuhl__prob25
2080,14,396.7807237373678,404.42337888994024,402.2213576108896,288.2116592222961,0.5836382349600668,6.423598459473699,1.3873667709736037,0.2914184786924258,5.402594758195975,2.2020212790505598,cbudget_500__kalkuhl__prob25
2085,15,426.9879066312836,435.00012254480833,432.7088759332782,311.31085266605464,-0.7289583326548614,5.4348520261592626,1.3765661890469134,0.2981055107397048,5.676013738111378,2.291246611530029,cbudget_500__kalkuhl__prob25
2090,16,458.20484294813826,466.45599307133034,464.1210538668027,335.2436896616801,-1.9794108087070803,4.510923006245899,1.3627208126132542,0.30504420819377664,5.863933509113267,2.334939204527621,cbudget_500__kalkuhl__prob25
2095,17,490.52260741664486,498.8818373775302,496.56803839570233,360.0620483987308,-3.2007632846140615,3.56621540395615,1.3449752398110806,0.311151088759813,5.98553253707198,2.313798981827754,cbudget_500__kalkuhl__prob25
2100,18,523.7651441414163,532.1029299442098,529.8883954857458,385.6448597272449,-4.120201848658182,2.911277601605671,1.3232850798093065,0.31601155527050695,6.05739220360422,2.214534458463751,cbudget_500__kalkuhl__prob25
2105,19,559.3421734983284,567.238477660375,565.2108141071132,412.98202873646454,-4.8589878255582315,1.7112731898858509,1.2976476321364272,0.32373348984051115,5.70670253640318,2.02766355326204,cbudget_500__kalkuhl__prob25
