year,t,Y_world,YGROSS_world,YNET_world,C_world,E_world,EIND_world,TATM,MIU_avg,ABATECOST_world,DAMAGES_world,scenario
2015,1,91.48765924093053,91.48765924093053,91.48765924093053,65.73850114725718,40.487026771383796,35.08683370992618,1.1,0.0,0.0,0.0,cbudget_500__dice__prob25
2020,2,102.29512227119905,102.50949991541678,102.50949991541678,72.70796092309487,25.37145527683519,19.971262215377575,1.1524603511400309,0.13189143454587757,0.2143776442136038,0.0,cbudget_500__dice__prob25
2025,3,123.15900081645597,123.65078902806769,123.56055726758768,87.10083092383285,16.423514556421818,18.12073062242944,1.279686888206709,0.15924847402668732,0.3984140622493713,0.09023176048000169,cbudget_500__dice__prob25
2030,4,144.0082338508057,144.7346638579116,144.55909515408416,101.54605330844242,17.90804191194822,19.732259988342744,1.3574934392103688,0.15911260765646695,0.5481473923253197,0.17556870382741407,cbudget_500__dice__prob25
2035,5,165.64124615026932,166.63692908396615,166.40216890116736,116.7625094704641,17.460442949593435,19.681814947231466,1.3877901421098064,0.16966087559096032,0.7568502615213629,0.23476018279882083,cbudget_500__dice__prob25
2040,6,187.26673711036207,188.60984950957118,188.30849159447558,132.24766811465267,16.018192233405482,18.64594335154561,1.4164306243957743,0.1856298272002842,1.0355506745118377,0.3013579150955924,cbudget_500__dice__prob25
2045,7,209.8019071823904,211.636077817716,211.25434099884868,148.53192532518315,13.823619079148985,16.836222720843647,1.4470118443585849,0.2057153983319038,1.4309531010948389,0.3817368188673365,cbudget_500__dice__prob25
2050,8,233.24860926639718,235.72419951439736,235.25218855956416,165.63169968816268,10.189555138006542,13.90686853626435,1.4759187268526328,0.2304558269097064,1.9918466955450813,0.4720109548331492,cbudget_500__dice__prob25
2055,9,257.69754078960995,260.95168798477005,260.38681168317663,183.646214428128,6.8673929084799346,11.004657314383461,1.499130083025745,0.25161226116757396,2.67592277788864,0.5648763015933184,cbudget_500__dice__prob25
2060,10,283.71942719842406,287.83605132662797,287.19040774315323,202.93392756303058,4.693674432544037,8.610536015868131,1.5102203754399477,0.26792102428265085,3.4305999225891015,0.6456435834748058,cbudget_500__dice__prob25
